dataset	did	seed	auc_challenger	auc_baseline	auc_offline
breast-cancer	13	2101	0.670612454966547	0.677817807514153	0.58363355635615
breast-cancer	13	2102	0.670869788986104	0.671127123005661	0.646937725167267
breast-cancer	13	2103	0.691456510550695	0.656716417910448	0.662635100360268
breast-cancer	13	2104	0.789758106021616	0.73031394750386	0.702521873391662
breast-cancer	13	2105	0.751158003088008	0.713072568193515	0.711785898095728
breast-cancer	13	2106	0.676788471435924	0.63973237261966	0.68991250643335
breast-cancer	13	2107	0.637931034482759	0.70766855378281	0.61708697889861
breast-cancer	13	2108	0.641533710756562	0.670869788986104	0.649768399382398
breast-cancer	13	2109	0.705609881626351	0.702521873391662	0.643077714873906
breast-cancer	13	2110	0.647195059186825	0.685537828100875	0.647452393206382
breast-w	15	2101	0.991544117647059	0.991584967320261	0.975571895424837
breast-w	15	2102	0.987009803921569	0.995179738562092	0.976266339869281
breast-w	15	2103	0.990849673202614	0.994199346405229	0.974264705882353
breast-w	15	2104	0.99812091503268	0.992728758169935	0.96593137254902
breast-w	15	2105	0.996241830065359	0.992320261437909	0.99093137254902
breast-w	15	2106	0.98202614379085	0.988398692810458	0.936029411764706
breast-w	15	2107	0.988562091503268	0.984885620915033	0.9625
breast-w	15	2108	0.983455882352941	0.981617647058824	0.953186274509804
breast-w	15	2109	0.976143790849673	0.977246732026144	0.956617647058824
breast-w	15	2110	0.993382352941176	0.995588235294118	0.974346405228758
diabetes	37	2101	0.813362039965014	0.758931575052143	0.754188252708067
diabetes	37	2102	0.801991522572832	0.838390634461414	0.718630155419498
diabetes	37	2103	0.782345421516518	0.800309493372805	0.764953239588239
diabetes	37	2104	0.784128372468546	0.803269864764852	0.719908497611519
diabetes	37	2105	0.773397026172374	0.697167462827155	0.680784498418893
diabetes	37	2106	0.827558366413241	0.772656933324363	0.75314539460405
diabetes	37	2107	0.806768485500908	0.816793379533069	0.721119558635538
diabetes	37	2108	0.745778106707933	0.782009015676512	0.754120971540066
diabetes	37	2109	0.760748166588172	0.739756442171836	0.740193769763843
diabetes	37	2110	0.779923299468479	0.769561999596313	0.748334791091973
haberman	43	2101	0.577777777777778	0.600987654320988	0.552345679012346
haberman	43	2102	0.575555555555555	0.519506172839506	0.603950617283951
haberman	43	2103	0.586172839506173	0.513827160493827	0.593827160493827
haberman	43	2104	0.640740740740741	0.611604938271605	0.450123456790123
haberman	43	2105	0.620740740740741	0.642222222222222	0.664444444444444
haberman	43	2106	0.614074074074074	0.571604938271605	0.488148148148148
haberman	43	2107	0.568395061728395	0.562716049382716	0.663950617283951
haberman	43	2108	0.528395061728395	0.530864197530864	0.601481481481481
haberman	43	2109	0.619753086419753	0.617037037037037	0.495802469135802
haberman	43	2110	0.594320987654321	0.585185185185185	0.542222222222222
heart-c	49	2101	0.841897233201581	0.892094861660079	0.836758893280632
heart-c	49	2102	0.787351778656126	0.903557312252964	0.792490118577075
heart-c	49	2103	0.796837944664032	0.862450592885376	0.730434782608696
heart-c	49	2104	0.808300395256917	0.888932806324111	0.766600790513834
heart-c	49	2105	0.859288537549407	0.883794466403162	0.702173913043478
heart-c	49	2106	0.830434782608696	0.832806324110672	0.802371541501976
heart-c	49	2107	0.870750988142292	0.825296442687747	0.780830039525692
heart-c	49	2108	0.851383399209486	0.886363636363636	0.851581027667984
heart-c	49	2109	0.796837944664032	0.877667984189723	0.786758893280632
heart-c	49	2110	0.81501976284585	0.809486166007905	0.71897233201581
tic-tac-toe	50	2101	0.891676365360576	0.877020561231088	0.812362601836286
tic-tac-toe	50	2102	0.891676365360576	0.917668865037286	0.801155222207854
tic-tac-toe	50	2103	0.888874520453468	0.77524893314367	0.887926203715677
tic-tac-toe	50	2104	0.909004698478383	0.891202206991681	0.87288245182982
tic-tac-toe	50	2105	0.898400793137635	0.86533902323376	0.811931548773654
tic-tac-toe	50	2106	0.8470192680719	0.86654597180913	0.75410578042157
tic-tac-toe	50	2107	0.813741971636708	0.876891245312298	0.885210569421096
tic-tac-toe	50	2108	0.842450105608	0.873270399586189	0.691128927971033
tic-tac-toe	50	2109	0.874779085305401	0.847579637053321	0.863269968533126
tic-tac-toe	50	2110	0.886719255140308	0.882796672270356	0.903271692745377
heart-h	51	2101	0.866213151927438	0.899546485260771	0.779591836734694
heart-h	51	2102	0.836281179138322	0.860770975056689	0.829251700680272
heart-h	51	2103	0.826757369614512	0.82766439909297	0.757142857142857
heart-h	51	2104	0.85124716553288	0.891609977324263	0.851927437641723
heart-h	51	2105	0.86485260770975	0.875510204081633	0.75578231292517
heart-h	51	2106	0.863945578231293	0.848072562358277	0.784580498866213
heart-h	51	2107	0.798639455782313	0.835827664399093	0.752607709750567
heart-h	51	2108	0.848979591836735	0.826303854875283	0.708390022675737
heart-h	51	2109	0.891156462585034	0.921995464852608	0.880272108843537
heart-h	51	2110	0.799546485260771	0.749206349206349	0.7140589569161
heart-statlog	53	2101	0.8895	0.8835	0.7645
heart-statlog	53	2102	0.7985	0.8265	0.74825
heart-statlog	53	2103	0.8335	0.8965	0.64225
heart-statlog	53	2104	0.8015	0.888	0.81525
heart-statlog	53	2105	0.8315	0.85675	0.7325
heart-statlog	53	2106	0.8595	0.8835	0.75575
heart-statlog	53	2107	0.779	0.8455	0.76
heart-statlog	53	2108	0.867	0.862	0.76325
heart-statlog	53	2109	0.8665	0.91025	0.79125
heart-statlog	53	2110	0.8515	0.842	0.78425
BNG(tic-tac-toe)	137	2101	0.824045513526299	0.786859579242177	0.771135033378662
BNG(tic-tac-toe)	137	2102	0.808503925344963	0.799685119053187	0.800335561225477
BNG(tic-tac-toe)	137	2103	0.798375944658857	0.813676967640745	0.717440522096314
BNG(tic-tac-toe)	137	2104	0.803421330438948	0.798340811248637	0.783981753177671
BNG(tic-tac-toe)	137	2105	0.817692337162345	0.782974390409066	0.796006258923495
BNG(tic-tac-toe)	137	2106	0.827217719641793	0.748841859549132	0.8010759510782
BNG(tic-tac-toe)	137	2107	0.807273102811864	0.798435640704887	0.803535341045856
BNG(tic-tac-toe)	137	2108	0.805790683034753	0.794631033205429	0.77435017605785
BNG(tic-tac-toe)	137	2109	0.811906817790729	0.784268137879287	0.72634960920808
BNG(tic-tac-toe)	137	2110	0.815278433557301	0.807596696639403	0.793785576261603
electricity	151	2101	0.882434369706019	0.882139688469532	0.870724130132784
electricity	151	2102	0.881255528132795	0.890115289469612	0.871313268322539
electricity	151	2103	0.872430611436966	0.853826192777635	0.86608327072542
electricity	151	2104	0.889332352635518	0.85065857806879	0.862446554205917
electricity	151	2105	0.885488990528861	0.860321892353241	0.852457571715367
electricity	151	2106	0.880579780734983	0.890788542838023	0.873539153677857
electricity	151	2107	0.882330051094947	0.810552916629226	0.874269572353264
electricity	151	2108	0.872817670445917	0.85731542065197	0.874975903010893
electricity	151	2109	0.873920408237086	0.851455276921235	0.880826097538009
electricity	151	2110	0.879627877894617	0.872422653868337	0.880895113970325
BNG(breast-w)	251	2101	0.997681263583004	0.995689966741382	0.996238246934138
BNG(breast-w)	251	2102	0.997590117292307	0.996287860160695	0.996538589659116
BNG(breast-w)	251	2103	0.99782982019966	0.99456019791766	0.996531448751248
BNG(breast-w)	251	2104	0.998025198012229	0.994256728633021	0.994375640832149
BNG(breast-w)	251	2105	0.997842944030336	0.993880151891614	0.99551392727931
BNG(breast-w)	251	2106	0.998008780357382	0.996594970665022	0.995768915589451
BNG(breast-w)	251	2107	0.997997933897323	0.997424795625287	0.996407119755341
BNG(breast-w)	251	2108	0.998016127129261	0.994514624772311	0.996076746617815
BNG(breast-w)	251	2109	0.997754911432799	0.993611422158765	0.992737349302719
BNG(breast-w)	251	2110	0.9977859711654	0.997126511540415	0.996188196246559
mammography	310	2101	0.924676497236139	0.910563600375039	0.892438290604766
mammography	310	2102	0.938551048562508	0.921308090804913	0.888135443401617
mammography	310	2103	0.93472015708707	0.923451622170239	0.906573285727364
mammography	310	2104	0.912301470797147	0.924035647652691	0.891555938592088
mammography	310	2105	0.970036335855692	0.941325958827782	0.921369650247658
mammography	310	2106	0.957124637351744	0.941461705291271	0.885715683767564
mammography	310	2107	0.902772384749674	0.897074190177638	0.857350986687376
mammography	310	2108	0.948515786050946	0.944874308245493	0.924888009167622
mammography	310	2109	0.924993765133363	0.919221383540584	0.878446934181907
mammography	310	2110	0.957561867239959	0.95386514378076	0.953904604962007
monks-problems-1	333	2101	1	0.955139322465025	0.853220025436467
monks-problems-1	333	2102	0.966527922303156	0.986009943346052	1
monks-problems-1	333	2103	1	0.796045785639958	0.967221644120708
monks-problems-1	333	2104	0.928431032489305	0.986588044860678	0.974447913053532
monks-problems-1	333	2105	0.842178286507111	0.988322349404555	1
monks-problems-1	333	2106	0.932593363394612	0.99375650364204	0.89403399236906
monks-problems-1	333	2107	0.942189848537403	0.998496936061973	0.74777430916869
monks-problems-1	333	2108	0.998612556364898	0.886576482830385	0.935021389756041
monks-problems-1	333	2109	0.999653139091224	0.76245808764019	0.725748641461441
monks-problems-1	333	2110	0.998034454850272	0.843334489536363	0.945716267776622
monks-problems-2	334	2101	0.709046991655687	0.764822134387352	0.648056653491436
monks-problems-2	334	2102	0.60638998682477	0.501537110232762	0.572189284145806
monks-problems-2	334	2103	0.723869126043039	0.613197189284146	0.888449714536671
monks-problems-2	334	2104	0.628348704435661	0.673913043478261	0.496157224418094
monks-problems-2	334	2105	0.655138339920949	0.655522617479139	0.470575318401405
monks-problems-2	334	2106	0.689448836187967	0.581466842336408	0.675065876152833
monks-problems-2	334	2107	0.702898550724638	0.73336627140975	0.640425999121651
monks-problems-2	334	2108	0.674571805006588	0.677042160737813	0.829161176987264
monks-problems-2	334	2109	0.670015371102328	0.699714536671058	0.659749670619236
monks-problems-2	334	2110	0.689393939393939	0.681763285024155	0.743192797540624
monks-problems-3	335	2101	0.974543539325843	0.905196629213483	0.985135767790262
monks-problems-3	335	2102	0.991982677902622	0.998068820224719	0.948618913857678
monks-problems-3	335	2103	0.970798220973783	0.992216760299625	0.962780898876405
monks-problems-3	335	2104	0.988295880149813	0.994323501872659	0.773408239700375
monks-problems-3	335	2105	0.980863764044944	0.984843164794007	0.968223314606742
monks-problems-3	335	2106	0.983497191011236	0.995435393258427	0.994733146067416
monks-problems-3	335	2107	0.987886235955056	0.992860486891386	0.999882958801498
monks-problems-3	335	2108	0.984726123595506	0.988237359550562	0.952949438202247
monks-problems-3	335	2109	0.99625468164794	0.853581460674157	0.650397940074906
monks-problems-3	335	2110	0.986072097378277	0.938670411985019	0.992801966292135
aids	346	2101	0.388888888888889	0.527777777777778	0.625
aids	346	2102	0.395833333333333	0.354166666666667	0.555555555555556
aids	346	2103	0.513888888888889	0.166666666666667	0.354166666666667
aids	346	2104	0.298611111111111	0.340277777777778	0.5
aids	346	2105	0.541666666666667	0.506944444444444	0.458333333333333
aids	346	2106	0.319444444444444	0.659722222222222	0.618055555555556
aids	346	2107	0.3125	0.395833333333333	0.513888888888889
aids	346	2108	0.291666666666667	0.145833333333333	0.708333333333333
aids	346	2109	0.631944444444444	0.8125	0.493055555555556
aids	346	2110	0.631944444444444	0.493055555555556	0.25
analcatdata_boxing2	444	2101	0.852083333333333	0.870833333333333	0.822916666666667
analcatdata_boxing2	444	2102	0.842708333333333	0.829166666666667	0.745833333333333
analcatdata_boxing2	444	2103	0.74375	0.567708333333333	0.745833333333333
analcatdata_boxing2	444	2104	0.730208333333333	0.547916666666667	0.753125
analcatdata_boxing2	444	2105	0.690625	0.608333333333333	0.4
analcatdata_boxing2	444	2106	0.792708333333333	0.803125	0.651041666666667
analcatdata_boxing2	444	2107	0.851041666666667	0.832291666666667	0.780208333333333
analcatdata_boxing2	444	2108	0.765625	0.79375	0.883333333333333
analcatdata_boxing2	444	2109	0.78125	0.78125	0.790625
analcatdata_boxing2	444	2110	0.809375	0.671875	0.833333333333333
prnn_crabs	446	2101	0.900623885918004	0.907754010695187	0.9024064171123
prnn_crabs	446	2102	0.873440285204991	0.674688057040998	0.811942959001783
prnn_crabs	446	2103	0.89349376114082	0.718805704099822	0.938057040998217
prnn_crabs	446	2104	0.970588235294118	0.875222816399287	0.884135472370766
prnn_crabs	446	2105	0.920231729055258	0.85204991087344	0.956773618538324
prnn_crabs	446	2106	0.957664884135472	0.913101604278075	0.892156862745098
prnn_crabs	446	2107	0.982174688057041	0.934491978609626	0.892602495543672
prnn_crabs	446	2108	0.917112299465241	0.86319073083779	0.931372549019608
prnn_crabs	446	2109	0.897058823529412	0.893048128342246	0.912210338680927
prnn_crabs	446	2110	0.960338680926916	0.848039215686274	0.822638146167558
analcatdata_boxing1	448	2101	0.895604395604396	0.887362637362637	0.701923076923077
analcatdata_boxing1	448	2102	0.910714285714286	0.90521978021978	0.85989010989011
analcatdata_boxing1	448	2103	0.732142857142857	0.53021978021978	0.710164835164835
analcatdata_boxing1	448	2104	0.887362637362637	0.616758241758242	0.732142857142857
analcatdata_boxing1	448	2105	0.90521978021978	0.848901098901099	0.68543956043956
analcatdata_boxing1	448	2106	0.840659340659341	0.78021978021978	0.527472527472527
analcatdata_boxing1	448	2107	0.75	0.68956043956044	0.596153846153846
analcatdata_boxing1	448	2108	0.837912087912088	0.697802197802198	0.811813186813187
