dataset	did	seed	auc_challenger	auc_baseline	auc_offline
2dplanes	727	2101	0.980413615703583	0.957018435001373	0.982821643352509
2dplanes	727	2102	0.9806849360466	0.96284407377243	0.980231761932373
2dplanes	727	2103	0.981794834136963	0.968257963657379	0.982016324996948
2dplanes	727	2104	0.979636073112488	0.909916043281555	0.982790291309357
2dplanes	727	2105	0.981615722179413	0.941759407520294	0.983325004577637
2dplanes	727	2106	0.979278266429901	0.937262415885925	0.981380760669708
2dplanes	727	2107	0.979736089706421	0.948940813541412	0.981290459632874
2dplanes	727	2108	0.98130476474762	0.874997615814209	0.979585528373718
2dplanes	727	2109	0.980876445770264	0.875301837921143	0.983247339725494
2dplanes	727	2110	0.979655623435974	0.948549389839172	0.982423007488251
Amazon_employee_access	4135	2101	0.763840675354004	0.743784189224243	0.749706625938416
Amazon_employee_access	4135	2102	0.780903100967407	0.766596436500549	0.770219147205353
Amazon_employee_access	4135	2103	0.745034575462341	0.739294409751892	0.730724215507507
Amazon_employee_access	4135	2104	0.753311634063721	0.755330860614777	0.745655953884125
Amazon_employee_access	4135	2105	0.743894338607788	0.73549348115921	0.729626655578613
Amazon_employee_access	4135	2106	0.745881676673889	0.73830509185791	0.749758064746857
Amazon_employee_access	4135	2107	0.778741240501404	0.779930531978607	0.767013788223267
Amazon_employee_access	4135	2108	0.754275500774384	0.768122732639313	0.74193286895752
Amazon_employee_access	4135	2109	0.762701392173767	0.771409332752228	0.750045537948608
Amazon_employee_access	4135	2110	0.735606908798218	0.720933616161346	0.737978577613831
BNG(breast-w)	251	2101	0.9981569647789	0.996194183826447	0.998050630092621
BNG(breast-w)	251	2102	0.998165845870972	0.996411800384521	0.998177826404572
BNG(breast-w)	251	2103	0.998462855815887	0.996425867080688	0.99832671880722
BNG(breast-w)	251	2104	0.99844628572464	0.994882345199585	0.998489022254944
BNG(breast-w)	251	2105	0.998471200466156	0.995459020137787	0.998354017734528
BNG(breast-w)	251	2106	0.998336493968964	0.997147738933563	0.998077034950256
BNG(breast-w)	251	2107	0.99846214056015	0.997825384140015	0.998209834098816
BNG(breast-w)	251	2108	0.998249769210815	0.994710981845856	0.998230934143066
BNG(breast-w)	251	2109	0.99821275472641	0.993868112564087	0.998486757278442
BNG(breast-w)	251	2110	0.998525023460388	0.997290015220642	0.99857097864151
BNG(tic-tac-toe)	137	2101	0.827477872371674	0.79061096906662	0.829621374607086
BNG(tic-tac-toe)	137	2102	0.829840242862701	0.792843103408813	0.831043183803558
BNG(tic-tac-toe)	137	2103	0.828767359256744	0.816769182682037	0.836238026618958
BNG(tic-tac-toe)	137	2104	0.824290096759796	0.791349649429321	0.829567313194275
BNG(tic-tac-toe)	137	2105	0.828268587589264	0.784942924976349	0.818341314792633
BNG(tic-tac-toe)	137	2106	0.829683840274811	0.784590721130371	0.831636130809784
BNG(tic-tac-toe)	137	2107	0.824895441532135	0.788395464420319	0.822718739509583
BNG(tic-tac-toe)	137	2108	0.820948660373688	0.811413407325745	0.816864788532257
BNG(tic-tac-toe)	137	2109	0.823244869709015	0.788528501987457	0.824157238006592
BNG(tic-tac-toe)	137	2110	0.824596107006073	0.807613730430603	0.825580596923828
Click_prediction_small	1217	2101	0.694224834442139	0.697903871536255	0.691820740699768
Click_prediction_small	1217	2102	0.699786186218262	0.692400574684143	0.696561932563782
Click_prediction_small	1217	2103	0.699982643127441	0.678448021411896	0.698751926422119
Click_prediction_small	1217	2104	0.695063829421997	0.676392674446106	0.689882576465607
Click_prediction_small	1217	2105	0.695230305194855	0.687317132949829	0.691504716873169
Click_prediction_small	1217	2106	0.693111896514893	0.678457319736481	0.693622291088104
Click_prediction_small	1217	2107	0.695602536201477	0.686321794986725	0.698623180389404
Click_prediction_small	1217	2108	0.70488053560257	0.710212588310242	0.700117588043213
Click_prediction_small	1217	2109	0.691636741161346	0.684199273586273	0.689477443695068
Click_prediction_small	1217	2110	0.700616598129272	0.694213390350342	0.700513541698456
Click_prediction_small	1220	2101	0.693436205387115	0.687603354454041	0.690399825572968
Click_prediction_small	1220	2102	0.686254978179932	0.673134207725525	0.687117278575897
Click_prediction_small	1220	2103	0.693419218063354	0.668863952159882	0.691859841346741
Click_prediction_small	1220	2104	0.690455973148346	0.676558554172516	0.689142167568207
Click_prediction_small	1220	2105	0.694007515907288	0.695066630840302	0.690458476543427
Click_prediction_small	1220	2106	0.698969006538391	0.693088352680206	0.694528460502625
Click_prediction_small	1220	2107	0.685678422451019	0.675593376159668	0.681731462478638
Click_prediction_small	1220	2108	0.684370279312134	0.671111464500427	0.679608106613159
Click_prediction_small	1220	2109	0.69701212644577	0.675014495849609	0.694083213806152
Click_prediction_small	1220	2110	0.693462491035461	0.674811065196991	0.692341268062592
MagicTelescope	1120	2101	0.914064824581146	0.902596950531006	0.911132365465164
MagicTelescope	1120	2102	0.913137018680573	0.903649002313614	0.911397486925125
MagicTelescope	1120	2103	0.910512447357178	0.85983419418335	0.908974528312683
MagicTelescope	1120	2104	0.91581654548645	0.905331045389175	0.913618206977844
MagicTelescope	1120	2105	0.919175565242767	0.916009664535522	0.915484040975571
MagicTelescope	1120	2106	0.916973471641541	0.916017383337021	0.916168540716171
MagicTelescope	1120	2107	0.918837308883667	0.914075046777725	0.912767201662064
MagicTelescope	1120	2108	0.914331138134003	0.895138561725616	0.914874762296677
MagicTelescope	1120	2109	0.914206206798553	0.904382079839706	0.913138836622238
MagicTelescope	1120	2110	0.913744390010834	0.899354845285416	0.911407858133316
Run_or_walk_information	40922	2101	0.995979189872742	0.982536375522614	0.995822072029114
Run_or_walk_information	40922	2102	0.996164441108704	0.989780187606812	0.995732128620148
Run_or_walk_information	40922	2103	0.996634602546692	0.99326366186142	0.996635973453522
Run_or_walk_information	40922	2104	0.996065676212311	0.989946484565735	0.996193110942841
Run_or_walk_information	40922	2105	0.996152341365814	0.989425122737885	0.996262550354004
Run_or_walk_information	40922	2106	0.996140897274017	0.99364298582077	0.995333969593048
Run_or_walk_information	40922	2107	0.996470510959625	0.992402672767639	0.996585488319397
Run_or_walk_information	40922	2108	0.996645748615265	0.99071478843689	0.996129810810089
Run_or_walk_information	40922	2109	0.996556520462036	0.981468558311462	0.996626317501068
Run_or_walk_information	40922	2110	0.996164262294769	0.97857278585434	0.995646417140961
Titanic	40704	2101	0.739902257919312	0.758843600749969	0.759552836418152
Titanic	40704	2102	0.711853504180908	0.71430116891861	0.713358402252197
Titanic	40704	2103	0.70160436630249	0.699295103549957	0.72813093662262
Titanic	40704	2104	0.784535527229309	0.767730474472046	0.787147581577301
Titanic	40704	2105	0.710871815681458	0.705881357192993	0.745865762233734
Titanic	40704	2106	0.729077994823456	0.746704697608948	0.75165194272995
Titanic	40704	2107	0.671946883201599	0.671229004859924	0.703593671321869
Titanic	40704	2108	0.769711136817932	0.72444212436676	0.773646414279938
Titanic	40704	2109	0.749156713485718	0.757788419723511	0.76134318113327
Titanic	40704	2110	0.745333850383759	0.743586778640747	0.770294904708862
abalone	720	2101	0.870127320289612	0.850670158863068	0.867633640766144
abalone	720	2102	0.88000100851059	0.863623380661011	0.879484593868256
abalone	720	2103	0.874060809612274	0.863360404968262	0.869030356407166
abalone	720	2104	0.880564749240875	0.868879914283752	0.87925112247467
abalone	720	2105	0.879710733890533	0.862763047218323	0.878580093383789
abalone	720	2106	0.897527158260345	0.884003937244415	0.89422470331192
abalone	720	2107	0.862387597560883	0.843178629875183	0.86357706785202
abalone	720	2108	0.876862645149231	0.872165560722351	0.876881539821625
abalone	720	2109	0.87763774394989	0.865363955497742	0.873815715312958
abalone	720	2110	0.863516092300415	0.848915874958038	0.858231127262115
acute-inflammations	1455	2101	1	1	1
acute-inflammations	1455	2102	1	1	1
acute-inflammations	1455	2103	1	1	1
acute-inflammations	1455	2104	1	1	1
acute-inflammations	1455	2105	1	1	1
acute-inflammations	1455	2106	1	1	1
acute-inflammations	1455	2107	1	0.989769816398621	1
acute-inflammations	1455	2108	1	1	1
acute-inflammations	1455	2109	1	1	1
acute-inflammations	1455	2110	1	1	1
acute-inflammations	1556	2101	1	1	1
acute-inflammations	1556	2102	1	1	1
acute-inflammations	1556	2103	1	1	1
acute-inflammations	1556	2104	1	1	1
acute-inflammations	1556	2105	1	1	1
acute-inflammations	1556	2106	1	1	1
acute-inflammations	1556	2107	1	0.930000007152557	1
acute-inflammations	1556	2108	1	1	1
acute-inflammations	1556	2109	1	1	1
acute-inflammations	1556	2110	1	1	1
aids	346	2101	0.444444447755814	0.458333343267441	0.430555552244186
aids	346	2102	0.5	0.194444447755814	0.305555552244186
aids	346	2103	0.506944417953491	0.277777791023254	0.5
aids	346	2104	0.430555552244186	0.222222223877907	0.402777791023254
aids	346	2105	0.513888895511627	0.486111104488373	0.527777791023254
aids	346	2106	0.347222208976746	0.361111104488373	0.486111104488373
aids	346	2107	0.388888895511627	0.277777791023254	0.368055552244186
aids	346	2108	0.347222208976746	0.152777776122093	0.395833343267441
aids	346	2109	0.680555582046509	0.75	0.618055582046509
aids	346	2110	0.444444447755814	0.569444417953491	0.604166686534882
analcatdata_apnea1	767	2101	0.961313843727112	0.939781010150909	0.971167862415314
analcatdata_apnea1	767	2102	0.966423332691193	0.957299292087555	0.961678802967072
analcatdata_apnea1	767	2103	0.888503670692444	0.873357653617859	0.897810220718384
analcatdata_apnea1	767	2104	0.847262799739838	0.848175168037415	0.854927003383636
analcatdata_apnea1	767	2105	0.909124076366425	0.897627711296082	0.898357689380646
analcatdata_apnea1	767	2106	0.988321185112	0.904379546642303	0.98759126663208
analcatdata_apnea1	767	2107	0.861678838729858	0.906204402446747	0.891970813274384
analcatdata_apnea1	767	2108	0.933941602706909	0.94562041759491	0.965693414211273
analcatdata_apnea1	767	2109	0.936496376991272	0.886496365070343	0.92354017496109
analcatdata_apnea1	767	2110	0.963138699531555	0.965693414211273	0.969708025455475
analcatdata_apnea2	765	2101	0.930322110652924	0.872548997402191	0.926470577716827
analcatdata_apnea2	765	2102	0.984943985939026	0.96533614397049	0.975140035152435
analcatdata_apnea2	765	2103	0.950630247592926	0.935224115848541	0.949229717254639
analcatdata_apnea2	765	2104	0.980392158031464	0.964985966682434	0.982142865657806
analcatdata_apnea2	765	2105	0.985644280910492	0.9656862616539	0.981792688369751
analcatdata_apnea2	765	2106	0.914915978908539	0.83753502368927	0.923844516277313
analcatdata_apnea2	765	2107	0.875525236129761	0.870798289775848	0.885679244995117
analcatdata_apnea2	765	2108	0.992296934127808	0.993697464466095	0.993347346782684
analcatdata_apnea2	765	2109	0.95290619134903	0.958158254623413	0.941001415252686
analcatdata_apnea2	765	2110	0.929971992969513	0.910014033317566	0.923669457435608
analcatdata_apnea3	764	2101	0.921119570732117	0.880831241607666	0.919847309589386
analcatdata_apnea3	764	2102	0.943596243858337	0.907124698162079	0.970949947834015
analcatdata_apnea3	764	2103	0.971162021160126	0.970737934112549	0.975402891635895
analcatdata_apnea3	764	2104	0.932145893573761	0.946988999843597	0.966072916984558
analcatdata_apnea3	764	2105	0.95207804441452	0.913486003875732	0.942748069763184
analcatdata_apnea3	764	2106	0.898854970932007	0.875954210758209	0.909881234169006
analcatdata_apnea3	764	2107	0.950593709945679	0.937659025192261	0.954198479652405
analcatdata_apnea3	764	2108	0.947837173938751	0.901611506938934	0.948261260986328
analcatdata_apnea3	764	2109	0.946988999843597	0.90839695930481	0.936174750328064
analcatdata_apnea3	764	2110	0.957167088985443	0.92069548368454	0.952926218509674
analcatdata_asbestos	459	2101	0.9140625	0.9375	0.901041686534882
analcatdata_asbestos	459	2102	0.807291686534882	0.802083313465118	0.8046875
analcatdata_asbestos	459	2103	0.825520813465118	0.7421875	0.783854186534882
analcatdata_asbestos	459	2104	0.895833313465118	0.848958313465118	0.8828125
analcatdata_asbestos	459	2105	0.6328125	0.611979186534882	0.6328125
analcatdata_asbestos	459	2106	0.825520813465118	0.861979186534882	0.8203125
analcatdata_asbestos	459	2107	0.8984375	0.903645813465118	0.888020813465118
analcatdata_asbestos	459	2108	0.7421875	0.671875	0.71875
analcatdata_asbestos	459	2109	0.841145813465118	0.859375	0.872395813465118
analcatdata_asbestos	459	2110	0.901041686534882	0.895833313465118	0.8828125
analcatdata_bankruptcy	476	2101	1	0.958333313465118	0.986111104488373
analcatdata_bankruptcy	476	2102	1	1	1
analcatdata_bankruptcy	476	2103	1	1	1
analcatdata_bankruptcy	476	2104	0.944444417953491	0.986111104488373	0.965277791023254
analcatdata_bankruptcy	476	2105	0.916666686534882	0.916666686534882	0.923611104488373
analcatdata_bankruptcy	476	2106	0.958333313465118	1	0.944444417953491
analcatdata_bankruptcy	476	2107	1	1	1
analcatdata_bankruptcy	476	2108	0.986111104488373	0.972222208976746	0.979166686534882
analcatdata_bankruptcy	476	2109	0.916666686534882	0.916666686534882	0.930555582046509
analcatdata_bankruptcy	476	2110	0.916666686534882	0.833333313465118	0.930555582046509
analcatdata_birthday	968	2101	0.923948228359222	0.925566345453262	0.922599792480469
analcatdata_birthday	968	2102	0.855447709560394	0.699568510055542	0.826995670795441
analcatdata_birthday	968	2103	0.840884566307068	0.695523202419281	0.862998932600021
analcatdata_birthday	968	2104	0.906688213348389	0.861380815505981	0.928263187408447
analcatdata_birthday	968	2105	0.793959021568298	0.823354929685593	0.895765900611877
analcatdata_birthday	968	2106	0.892125129699707	0.934196323156357	0.8894282579422
analcatdata_birthday	968	2107	0.915318250656128	0.7845199406147	0.913160711526871
analcatdata_birthday	968	2108	0.87864077091217	0.6394282579422	0.909654796123505
analcatdata_birthday	968	2109	0.916936337947845	0.936353802680969	0.927454173564911
analcatdata_birthday	968	2110	0.891585767269135	0.909385114908218	0.923678547143936
analcatdata_bondrate	998	2101	0.647727251052856	0.664772719144821	0.613636374473572
analcatdata_bondrate	998	2102	0.613636374473572	0.545454561710358	0.579545468091965
analcatdata_bondrate	998	2103	0.761363625526428	0.636363625526428	0.786931842565536
analcatdata_bondrate	998	2104	0.693181812763214	0.681818187236786	0.707386374473572
analcatdata_bondrate	998	2105	0.590909063816071	0.619318187236786	0.650568157434464
analcatdata_bondrate	998	2106	0.568181812763214	0.545454531908035	0.588068187236786
analcatdata_bondrate	998	2107	0.715909063816071	0.852272719144821	0.761363625526428
analcatdata_bondrate	998	2108	0.636363625526428	0.710227280855179	0.636363655328751
analcatdata_bondrate	998	2109	0.761363625526428	0.681818187236786	0.752840906381607
analcatdata_bondrate	998	2110	0.784090936183929	0.732954561710358	0.755681812763214
analcatdata_boxing1	448	2101	0.912087917327881	0.892857134342194	0.881868124008179
analcatdata_boxing1	448	2102	0.934065937995911	0.851648330688477	0.964285731315613
analcatdata_boxing1	448	2103	0.788461565971375	0.700549423694611	0.821428596973419
analcatdata_boxing1	448	2104	0.832417607307434	0.788461565971375	0.848901093006134
analcatdata_boxing1	448	2105	0.903846144676208	0.865384638309479	0.903846144676208
analcatdata_boxing1	448	2106	0.848901093006134	0.873626351356506	0.802197813987732
analcatdata_boxing1	448	2107	0.822802186012268	0.717032968997955	0.858516454696655
analcatdata_boxing1	448	2108	0.917582392692566	0.780219793319702	0.925824165344238
analcatdata_boxing1	448	2109	0.958791196346283	0.942307710647583	0.903846144676208
analcatdata_boxing1	448	2110	0.810439586639404	0.77197802066803	0.840659320354462
analcatdata_boxing2	444	2101	0.868749976158142	0.866666674613953	0.845833361148834
analcatdata_boxing2	444	2102	0.866666674613953	0.743749976158142	0.858333349227905
analcatdata_boxing2	444	2103	0.817708313465118	0.744791686534882	0.792708337306976
analcatdata_boxing2	444	2104	0.731249988079071	0.608333349227905	0.704166650772095
analcatdata_boxing2	444	2105	0.677083313465118	0.676041662693024	0.714583337306976
analcatdata_boxing2	444	2106	0.813541650772095	0.826041638851166	0.723958313465118
analcatdata_boxing2	444	2107	0.802083313465118	0.675000011920929	0.793749988079071
analcatdata_boxing2	444	2108	0.835416674613953	0.806249976158142	0.791666686534882
analcatdata_boxing2	444	2109	0.814583361148834	0.787500023841858	0.780208349227905
analcatdata_boxing2	444	2110	0.769791662693024	0.759374976158142	0.773958325386047
analcatdata_broadway	992	2101	1	0.884057968854904	1
analcatdata_broadway	992	2102	1	0.995169073343277	1
analcatdata_broadway	992	2103	1	1	1
analcatdata_broadway	992	2104	1	1	1
analcatdata_broadway	992	2105	1	1	1
